"用例编号",a,b,c,期望值
1,0,27,1975,Value of day not in the range 1..31
2,1,27,1975,Value of day not in the range 1..31
3,2,27,1975,Value of day not in the range 1..31
4,6,27,1975,Value of day not in the range 1..31
5,11,27,1975,Value of day not in the range 1..31
6,12,27,1975,Value of day not in the range 1..31
7,13,27,1975,Value of day not in the range 1..31
8,6,0,1975,Value of day not in the range 1..31
9,6,1,1975,Value of day not in the range 1..31
10,6,2,1975,Value of day not in the range 1..31
11,6,15,1975,Value of day not in the range 1..31
12,6,27,1975,Value of day not in the range 1..31
13,6,28,1975,Value of day not in the range 1..31
14,6,29,1975,Value of day not in the range 1..31
15,6,30,1975,Value of day not in the range 1..31
16,6,31,1975,Value of day not in the range 1..31
17,6,32,1975,Value of day not in the range 1..31
18,6,27,0,Value of day not in the range 1..31
19,6,27,1900,Value of day not in the range 1..31
20,6,27,1901,Value of day not in the range 1..31
21,6,27,1975,Value of day not in the range 1..31
22,6,27,2049,Value of day not in the range 1..31
23,6,27,2050,Value of day not in the range 1..31
24,6,27,2051,Value of day not in the range 1..31
