"用例编号",a,b,c,期望值
1,1,27,1975,Value of day not in the range 1..31
2,2,27,1975,Value of day not in the range 1..31
3,6,27,1975,Value of day not in the range 1..31
4,11,27,1975,Value of day not in the range 1..31
5,12,27,1975,Value of day not in the range 1..31
6,6,1,1975,Value of day not in the range 1..31
7,6,2,1975,Value of day not in the range 1..31
8,6,15,1975,Value of day not in the range 1..31
9,6,27,1975,Value of day not in the range 1..31
10,6,28,1975,Value of day not in the range 1..31
11,6,29,1975,Value of day not in the range 1..31
12,6,30,1975,Value of day not in the range 1..31
13,6,31,1975,Value of day not in the range 1..31
14,6,27,1900,Value of day not in the range 1..31
15,6,27,1901,Value of day not in the range 1..31
16,6,27,1975,Value of day not in the range 1..31
17,6,27,2049,Value of day not in the range 1..31
18,6,27,2050,Value of day not in the range 1..31
