"用例编号",a,b,c,期望值
1,1,1,1900,Value of day not in the range 1..31
2,1,1,1901,Value of day not in the range 1..31
3,1,1,1975,Value of day not in the range 1..31
4,1,1,2049,Value of day not in the range 1..31
5,1,1,2050,Value of day not in the range 1..31
6,1,2,1900,Value of day not in the range 1..31
7,1,2,1901,Value of day not in the range 1..31
8,1,2,1975,Value of day not in the range 1..31
9,1,2,2049,Value of day not in the range 1..31
10,1,2,2050,Value of day not in the range 1..31
11,1,15,1900,Value of day not in the range 1..31
12,1,15,1901,Value of day not in the range 1..31
13,1,15,1975,Value of day not in the range 1..31
14,1,15,2049,Value of day not in the range 1..31
15,1,15,2050,Value of day not in the range 1..31
16,1,27,1900,Value of day not in the range 1..31
17,1,27,1901,Value of day not in the range 1..31
18,1,27,1975,Value of day not in the range 1..31
19,1,27,2049,Value of day not in the range 1..31
20,1,27,2050,Value of day not in the range 1..31
21,1,28,1900,Value of day not in the range 1..31
22,1,28,1901,Value of day not in the range 1..31
23,1,28,1975,Value of day not in the range 1..31
24,1,28,2049,Value of day not in the range 1..31
25,1,28,2050,Value of day not in the range 1..31
26,1,29,1900,Value of day not in the range 1..31
27,1,29,1901,Value of day not in the range 1..31
28,1,29,1975,Value of day not in the range 1..31
29,1,29,2049,Value of day not in the range 1..31
30,1,29,2050,Value of day not in the range 1..31
31,1,30,1900,Value of day not in the range 1..31
32,1,30,1901,Value of day not in the range 1..31
33,1,30,1975,Value of day not in the range 1..31
34,1,30,2049,Value of day not in the range 1..31
35,1,30,2050,Value of day not in the range 1..31
36,1,31,1900,Value of day not in the range 1..31
37,1,31,1901,Value of day not in the range 1..31
38,1,31,1975,Value of day not in the range 1..31
39,1,31,2049,Value of day not in the range 1..31
40,1,31,2050,Value of day not in the range 1..31
41,2,1,1900,Value of day not in the range 1..31
42,2,1,1901,Value of day not in the range 1..31
43,2,1,1975,Value of day not in the range 1..31
44,2,1,2049,Value of day not in the range 1..31
45,2,1,2050,Value of day not in the range 1..31
46,2,2,1900,Value of day not in the range 1..31
