"用例编号",a,b,c,期望值
1,0,0,1899,Value of day not in the range 1..31
2,0,0,1900,Value of day not in the range 1..31
3,0,0,1901,Value of day not in the range 1..31
4,0,0,1975,Value of day not in the range 1..31
5,0,0,2049,Value of day not in the range 1..31
6,0,0,2050,Value of day not in the range 1..31
7,0,0,2051,Value of day not in the range 1..31
8,0,1,1899,Value of day not in the range 1..31
9,0,1,1900,Value of day not in the range 1..31
10,0,1,1901,Value of day not in the range 1..31
11,0,1,1975,Value of day not in the range 1..31
12,0,1,2049,Value of day not in the range 1..31
13,0,1,2050,Value of day not in the range 1..31
14,0,1,2051,Value of day not in the range 1..31
15,0,2,1899,Value of day not in the range 1..31
16,0,2,1900,Value of day not in the range 1..31
17,0,2,1901,Value of day not in the range 1..31
18,0,2,1975,Value of day not in the range 1..31
19,0,2,2049,Value of day not in the range 1..31
20,0,2,2050,Value of day not in the range 1..31
21,0,2,2051,Value of day not in the range 1..31
22,0,15,1899,Value of day not in the range 1..31
23,0,15,1900,Value of day not in the range 1..31
24,0,15,1901,Value of day not in the range 1..31
25,0,15,1975,Value of day not in the range 1..31
26,0,15,2049,Value of day not in the range 1..31
27,0,15,2050,Value of day not in the range 1..31
28,0,15,2051,Value of day not in the range 1..31
29,0,27,1899,Value of day not in the range 1..31
30,0,27,1900,Value of day not in the range 1..31
31,0,27,1901,Value of day not in the range 1..31
32,0,27,1975,Value of day not in the range 1..31
33,0,27,2049,Value of day not in the range 1..31
34,0,27,2050,Value of day not in the range 1..31
35,0,27,2051,Value of day not in the range 1..31
36,0,28,1899,Value of day not in the range 1..31
37,0,28,1900,Value of day not in the range 1..31
38,0,28,1901,Value of day not in the range 1..31
39,0,28,1975,Value of day not in the range 1..31
40,0,28,2049,Value of day not in the range 1..31
41,0,28,2050,Value of day not in the range 1..31
42,0,28,2051,Value of day not in the range 1..31
43,0,29,1899,Value of day not in the range 1..31
44,0,29,1900,Value of day not in the range 1..31
45,0,29,1901,Value of day not in the range 1..31
46,0,29,1975,Value of day not in the range 1..31
47,0,29,2049,Value of day not in the range 1..31
48,0,29,2050,Value of day not in the range 1..31
49,0,29,2051,Value of day not in the range 1..31
50,0,30,1899,Value of day not in the range 1..31
51,0,30,1900,Value of day not in the range 1..31
52,0,30,1901,Value of day not in the range 1..31
53,0,30,1975,Value of day not in the range 1..31
54,0,30,2049,Value of day not in the range 1..31
55,0,30,2050,Value of day not in the range 1..31
56,0,30,2051,Value of day not in the range 1..31
57,0,31,1899,Value of day not in the range 1..31
58,0,31,1900,Value of day not in the range 1..31
59,0,31,1901,Value of day not in the range 1..31
60,0,31,1975,Value of day not in the range 1..31
61,0,31,2049,Value of day not in the range 1..31
62,0,31,2050,Value of day not in the range 1..31
63,0,31,2051,Value of day not in the range 1..31
64,0,32,1899,Value of day not in the range 1..31
65,0,32,1900,Value of day not in the range 1..31
66,0,32,1901,Value of day not in the range 1..31
67,0,32,1975,Value of day not in the range 1..31
68,0,32,2049,Value of day not in the range 1..31
69,0,32,2050,Value of day not in the range 1..31
70,0,32,2051,Value of day not in the range 1..31
71,1,0,1899,Value of day not in the range 1..31
72,1,0,1900,Value of day not in the range 1..31
73,1,0,1901,Value of day not in the range 1..31
74,1,0,1975,Value of day not in the range 1..31
75,1,0,2049,Value of day not in the range 1..31
76,1,0,2050,Value of day not in the range 1..31
77,1,0,2051,Value of day not in the range 1..31
78,1,1,1899,Value of day not in the range 1..31
79,1,1,1900,Value of day not in the range 1..31
80,1,1,1901,Value of day not in the range 1..31
81,1,1,1975,Value of day not in the range 1..31
82,1,1,2049,Value of day not in the range 1..31
83,1,1,2050,Value of day not in the range 1..31
84,1,1,2051,Value of day not in the range 1..31
85,1,2,1899,Value of day not in the range 1..31
86,1,2,1900,Value of day not in the range 1..31
87,1,2,1901,Value of day not in the range 1..31
88,1,2,1975,Value of day not in the range 1..31
89,1,2,2049,Value of day not in the range 1..31
90,1,2,2050,Value of day not in the range 1..31
91,1,2,2051,Value of day not in the range 1..31
92,1,15,1899,Value of day not in the range 1..31
93,1,15,1900,Value of day not in the range 1..31
94,1,15,1901,Value of day not in the range 1..31
95,1,15,1975,Value of day not in the range 1..31
96,1,15,2049,Value of day not in the range 1..31
97,1,15,2050,Value of day not in the range 1..31
98,1,15,2051,Value of day not in the range 1..31
99,1,27,1899,Value of day not in the range 1..31
100,1,27,1900,Value of day not in the range 1..31
101,1,27,1901,Value of day not in the range 1..31
102,1,27,1975,Value of day not in the range 1..31
103,1,27,2049,Value of day not in the range 1..31
104,1,27,2050,Value of day not in the range 1..31
105,1,27,2051,Value of day not in the range 1..31
106,1,28,1899,Value of day not in the range 1..31
107,1,28,1900,Value of day not in the range 1..31
108,1,28,1901,Value of day not in the range 1..31
109,1,28,1975,Value of day not in the range 1..31
110,1,28,2049,Value of day not in the range 1..31
111,1,28,2050,Value of day not in the range 1..31
112,1,28,2051,Value of day not in the range 1..31
113,1,29,1899,Value of day not in the range 1..31
114,1,29,1900,Value of day not in the range 1..31
115,1,29,1901,Value of day not in the range 1..31
116,1,29,1975,Value of day not in the range 1..31
117,1,29,2049,Value of day not in the range 1..31
118,1,29,2050,Value of day not in the range 1..31
119,1,29,2051,Value of day not in the range 1..31
120,1,30,1899,Value of day not in the range 1..31
121,1,30,1900,Value of day not in the range 1..31
122,1,30,1901,Value of day not in the range 1..31
123,1,30,1975,Value of day not in the range 1..31
124,1,30,2049,Value of day not in the range 1..31
125,1,30,2050,Value of day not in the range 1..31
126,1,30,2051,Value of day not in the range 1..31
127,1,31,1899,Value of day not in the range 1..31
128,1,31,1900,Value of day not in the range 1..31
129,1,31,1901,Value of day not in the range 1..31
130,1,31,1975,Value of day not in the range 1..31
131,1,31,2049,Value of day not in the range 1..31
132,1,31,2050,Value of day not in the range 1..31
133,1,31,2051,Value of day not in the range 1..31
134,1,32,1899,Value of day not in the range 1..31
135,1,32,1900,Value of day not in the range 1..31
136,1,32,1901,Value of day not in the range 1..31
137,1,32,1975,Value of day not in the range 1..31
138,1,32,2049,Value of day not in the range 1..31
139,1,32,2050,Value of day not in the range 1..31
140,1,32,2051,Value of day not in the range 1..31
141,2,0,1899,Value of day not in the range 1..31
142,2,0,1900,Value of day not in the range 1..31
143,2,0,1901,Value of day not in the range 1..31
144,2,0,1975,Value of day not in the range 1..31
145,2,0,2049,Value of day not in the range 1..31
146,2,0,2050,Value of day not in the range 1..31
147,2,0,2051,Value of day not in the range 1..31
148,2,1,1899,Value of day not in the range 1..31
149,2,1,1900,Value of day not in the range 1..31
150,2,1,1901,Value of day not in the range 1..31
151,2,1,1975,Value of day not in the range 1..31
152,2,1,2049,Value of day not in the range 1..31
153,2,1,2050,Value of day not in the range 1..31
154,2,1,2051,Value of day not in the range 1..31
155,2,2,1899,Value of day not in the range 1..31
156,2,2,1900,Value of day not in the range 1..31
157,2,2,1901,Value of day not in the range 1..31
158,2,2,1975,Value of day not in the range 1..31
159,2,2,2049,Value of day not in the range 1..31
160,2,2,2050,Value of day not in the range 1..31
161,2,2,2051,Value of day not in the range 1..31
162,2,15,1899,Value of day not in the range 1..31
163,2,15,1900,Value of day not in the range 1..31
164,2,15,1901,Value of day not in the range 1..31
165,2,15,1975,Value of day not in the range 1..31
166,2,15,2049,Value of day not in the range 1..31
167,2,15,2050,Value of day not in the range 1..31
168,2,15,2051,Value of day not in the range 1..31
169,2,27,1899,Value of day not in the range 1..31
170,2,27,1900,Value of day not in the range 1..31
171,2,27,1901,Value of day not in the range 1..31
172,2,27,1975,Value of day not in the range 1..31
173,2,27,2049,Value of day not in the range 1..31
174,2,27,2050,Value of day not in the range 1..31
175,2,27,2051,Value of day not in the range 1..31
176,2,28,1899,Value of day not in the range 1..31
177,2,28,1900,Value of day not in the range 1..31
178,2,28,1901,Value of day not in the range 1..31
179,2,28,1975,Value of day not in the range 1..31
180,2,28,2049,Value of day not in the range 1..31
181,2,28,2050,Value of day not in the range 1..31
182,2,28,2051,Value of day not in the range 1..31
183,2,29,1899,Value of day not in the range 1..31
184,2,29,1900,Value of day not in the range 1..31
185,2,29,1901,Value of day not in the range 1..31
186,2,29,1975,Value of day not in the range 1..31
187,2,29,2049,Value of day not in the range 1..31
188,2,29,2050,Value of day not in the range 1..31
189,2,29,2051,Value of day not in the range 1..31
190,2,30,1899,Value of day not in the range 1..31
191,2,30,1900,Value of day not in the range 1..31
192,2,30,1901,Value of day not in the range 1..31
193,2,30,1975,Value of day not in the range 1..31
194,2,30,2049,Value of day not in the range 1..31
195,2,30,2050,Value of day not in the range 1..31
196,2,30,2051,Value of day not in the range 1..31
197,2,31,1899,Value of day not in the range 1..31
198,2,31,1900,Value of day not in the range 1..31
